ISC   1984  1 1 04634.33  -37.563  77.702 10.0A      4.9105.2  2          0X    0
GS    1984  1 1 04634.45  -37.431  77.627 10.0G  1.125.1705.2Z 2          0X    0
GS    1984  1 1 155 1.37   -2.601 141.597 33.0N  1.395.2805.2Z 2          0X    0
GS    1984  1 1 22243.63   41.823 142.137 75.0   0.995.148                0X    0
GS    1984  1 1 6 023.64    0.950 126.068 65.1   1.105.011                0X    0
GS    1984  1 1 9 338.85   33.683 136.894368.1   1.226.589      6.80mbBR  1A  187
ISC   1984  1 1144716.79    2.293 128.465 80.9       5.160                0X    0
GS    1984  1 1144716.92    2.321 128.616 87.7   1.195.170                0X    0
GS    1984  1 115 154.31    9.885 126.266 71.6   1.095.218                0X    0
GS    1984  1 1154742.18   11.089 125.027 33.0N  1.005.1704.5Z 1          0X    0
ISC   1984  1 122 812.17  -22.658 -66.013245.6       5.478                0X    0
GS    1984  1 122 814.15  -22.810 -66.160272.1D321.405.568      5.10mbBR  0X    0
GS    1984  1 2 03935.97   36.452  70.695204.9D130.955.063                0X    0
GS    1984  1 2161018.10   56.354-152.981 33.0N  0.905.014      4.50MLPM  0X    0
GS    1984  1 22131 2.41   -8.072 129.025 33.0N  1.345.180                0X    0
ISC   1984  1 222 956.07  -56.972-142.552 10.0A      5.5136.0  6          0X    0
GS    1984  1 222 958.14  -56.745-142.655 10.0G  1.355.6126.0Z 4          0X    0
GS    1984  1 3222622.87   36.429  70.629204.4D 60.875.116                0X    0
GS    1984  1 3225539.24  -40.525 174.023 82.0   1.285.310                0X    0
GS    1984  1 4 242 6.15    1.392 128.145 44.1   1.395.4205.6Z 7          0X    0
GS    1984  1 4 34550.13   -3.011 145.790 14.4   1.005.5305.4Z 2          0X    0
GS    1984  1 4 615 5.60   -4.182 102.525 90.0   0.975.013                0X    0
GS    1984  1 4101054.11  -17.166 -69.290178.0   1.035.029                0X    0
GS    1984  1 418 0 9.22  -15.673-174.370 33.0N  1.355.1125.3Z 1          0X    0
GS    1984  1 419 737.39  -30.945-178.033 43.3   1.075.220                0X    0
GS    1984  1 4224039.38   45.477 151.414 20.4   0.886.2995.8Z17          2A  388
GS    1984  1 5 14423.30* -55.033 -24.144 33.0N  0.955.460                0X    0
GS    1984  1 5 3 934.65   45.304 151.580 44.8D 90.915.0344.8Z 2          0X    0
GS    1984  1 5 743 7.04   -5.120 102.402 33.0N  1.035.4225.1Z 5          0X    0
GS    1984  1 51052 4.14    8.782 126.064175.1   0.985.024                0X    0
GS    1984  1 5214148.08   51.296-179.194 52.7   0.895.2584.8Z 5          4A 1620
GS    1984  1 5233359.41   37.966 102.188 12.3D170.965.5694.6Z 1          0X    0
GS    1984  1 6 93322.84    3.445 126.738 72.9   1.025.390                0X    0
ISC   1984  1 6 94818.59   -3.687 101.766  0.0A      5.030                0X    0
GS    1984  1 6113749.10    6.763 -73.014159.9D 31.035.022                0X    0
ISC   1984  1 615 134.49  -23.773 -68.791 87.5       5.321                0X    0
GS    1984  1 615 136.04  -23.686 -68.543101.8D411.195.419                0X    0
GS    1984  1 6184122.67   -6.947 154.149 43.0   1.215.011                0X    0
GS    1984  1 6195740.05   12.664 143.258107.4   0.815.070                0X    0
GS    1984  1 7 24030.87   -3.214 143.141 21.3   1.095.314                0X    0
GS    1984  1 7 330 6.66   -7.461 129.494 62.1   1.405.170                0X    0
GS    1984  1 7 34016.09   25.943 125.776120.6   1.175.127                0X    0
GS    1984  1 7221223.54   -6.806  71.477 10.0G  0.835.014                0X    0
GS    1984  1 8 73053.20  -18.190-177.861606.6   0.945.021                0X    0
GS    1984  1 8 75647.20   -2.284 139.065 33.0N  0.835.080                0X    0
GS    1984  1 8104735.98   -3.188 143.195 25.6   1.195.480                0X    0
GS    1984  1 8113016.68   -7.508 128.314158.8   1.355.160                0X    0
GS    1984  1 8152413.56   -2.823 118.806 33.0N  1.266.0526.6Z216.70MsBR  2A  389
ISC   1984  1 9 44754.65   -3.926 136.575 16.6       5.140                0X    0
GS    1984  1 9 718 3.91    6.553 126.927 78.0   1.225.428                0X    0
GS    1984  1 9134323.57  -60.951 -36.071 10.0G  1.125.5905.0Z 3          0X    0
ISC   1984  1 9183519.95   -6.053 -74.253 22.7       5.110                0X    0
GS    1984  1 92216 5.15  -14.178 167.216218.9   1.035.111                0X    0
GS    1984  110 51417.93  -17.648-178.493586.9   1.045.329                0X    0
ISC   1984  111 41125.79   -7.092 130.419 33.0A      5.070                0X    0
GS    1984  111 9 226.95  -20.962-178.654575.5   1.015.225                0X    0
ISC   1984  111113553.78   -3.003-103.022 10.0A      5.0124.8  2          0X    0
GS    1984  111113554.75*  -2.751-102.828 10.0G  1.095.1124.9Z 2          0X    0
GS    1984  11113 330.51   20.485 121.026 21.5   1.135.1164.3Z 2          0X    0
GS    1984  111184029.62   -6.239  27.861 10.0G  1.045.5555.3Z 4          0X    0
GS    1984  111213312.15*  53.979 160.850 33.0N  1.385.080                0X    0
GS    1984  112 13029.72   49.586 155.805 33.0N  0.885.4514.9Z 2          0X    0
ISC   1984  112 31635.14  -13.467 167.580 35.3       5.030                0X    0
GS    1984  112 33155.75*  -6.651 154.516 63.4   0.735.230                0X    0
GS    1984  112115137.65* -41.105 -89.753 10.0G  1.235.150                0X    0
GS    1984  112194114.00*  -3.069 145.734 33.0N  1.315.360                0X    0
GS    1984  113 1 342.59   23.349 143.397 47.5D141.045.3375.3Z 6          0X    0
GS    1984  113 229 0.99   -3.863 -78.494102.9   0.895.872                0X    0
GS    1984  113222222.17   48.368 153.903 83.6D 50.915.141                0X    0
GS    1984  114162750.30* -56.297 -26.523 33.0N  0.855.330                0X    0
GS    1984  1142215 3.65   35.228  24.492 64.1   1.085.057                0X    0
GS    1984  115 71052.76   56.621-152.406 33.0N  0.925.1285.1Z 35.30MLPM  0X    0
GS    1984  115 71410.68   28.804 -43.494 10.0G  0.985.4195.5Z 1          0X    0
ISC   1984  115114456.60RL-10.030 108.090  0.0       0.000      5.10ML    0X    0
GS    1984  11512 158.00   19.674  94.580 58.9D121.075.228                0X    0
GS    1984  115122839.55   56.503-152.319 33.0N  0.745.3564.7Z 45.00MLPM  0X    0
