GS    1985  1 1131114.84   -4.616 152.950 73.5   0.905.011                0X    0
GS    1985  1 1164024.42  -36.664 177.636 33.0N  0.995.130                0X    0
ISC   1985  1 117 416.33  -36.585 177.516 12.0A      4.7105.0  1          0X    0
GS    1985  1 1175715.74?   0.607 126.613 65.8?  0.875.120                0X    0
GS    1985  1 1181446.71* -36.429 178.055 33.0N  0.825.120                0X    0
ISC   1985  1 1181447.95  -36.555 177.527 25.1       5.020                0X    0
GS    1985  1 2 2 851.47? -48.807 116.523 10.0G  1.265.060                0X    0
ISC   1985  1 2 41215.72  -30.600-177.885124.5       5.320                0X    0
GS    1985  1 2 41226.19? -29.937-178.251212.1?  1.055.120                0X    0
GS    1985  1 2 53249.14   55.428-157.835 33.3D500.995.6835.6Z215.90MsBR  0X    0
GS    1985  1 2 91832.99* -29.644-177.977107.2*  1.145.040                0X    0
ISC   1985  1 21259 1.66  -36.670 177.571 12.0A      5.0505.0  2          0X    0
GS    1985  1 21259 5.75* -36.275 177.209 33.0N  1.095.0505.0Z 2          0X    0
GS    1985  1 2133954.57* -36.492 177.786 33.0N  1.105.160                0X    0
ISC   1985  1 2202525.80  -37.143 177.306 37.4       4.7505.1  1          0X    0
GS    1985  1 2202526.08* -37.164 176.939 33.0N  0.974.8505.1Z 1          0X    0
GS    1985  1 221 857.30  -36.549 177.794 33.0N  1.294.8405.1Z 2          0X    0
GS    1985  1 222 631.66    1.630  98.775105.0   1.095.358                0X    0
ISC   1985  1 2221549.17  -36.860 177.347  0.5       5.1304.9  1          0X    0
GS    1985  1 2222924.97* -14.658-175.353 33.0N  1.275.3175.7Z 6          0X    0
ISC   1985  1 3 15645.43   -3.689 144.103 56.2       5.150                0X    0
GS    1985  1 3 33719.76   19.134 121.172 52.2   1.204.9175.4Z 2          0X    0
GS    1985  1 31310 2.82  -10.326 117.526 33.0N  1.375.160                0X    0
GS    1985  1 315 153.62  -10.317 117.681 33.0N  1.375.090                0X    0
ISC   1985  1 3175358.91   -2.905 138.773 44.7       5.010                0X    0
GS    1985  1 3185756.82  -19.583 -69.175128.6   1.035.150                0X    0
GS    1985  1 32244 9.49* -54.370 155.444 10.0G  1.405.140                0X    0
